Категория (Номер/ID/Название);Производитель;Модель;Производитель(модель);Наименование без применения;Наименование товара;Цена;Изображение;ОЕМ;Код детали;Примечание;Совместимость;Замены;Title Изображения;Title страницы;Год;Склад;guid
Кузовные стёкла;Renault;Megane II 2002-2009;Renault Megane II 2002-2009;Стекло двери передней правой;Стекло двери передней правой Renault Megane II 2002-2009;2250;;8200211198;102-112;;;;Стекло двери передней правой Renault Megane II 2002-2009;Стекло двери передней правой Renault Megane II 2002-2009;2005;Брянск\ГС;11397
Система охлаждения;Mitsubishi;Lancer (CX, CY) 2007 >;Mitsubishi Lancer (CX, CY) 2007 >;Шкив водяного насоса (помпы);Шкив водяного насоса (помпы) Mitsubishi Lancer (CX, CY) 2007 >;450;https://i04.softrazborki.net/px1j4rd8/6089.jpg;MN176741;4416;;Mitsubishi Colt (Z3) 2004-2012;;Шкив водяного насоса (помпы) Mitsubishi Lancer (CX, CY) 2007 >;Шкив водяного насоса (помпы) Mitsubishi Lancer (CX, CY) 2007 >;;Брянск\ГС;26
Оптика;Mitsubishi;Outlander XL (CW) 2006-2012;Mitsubishi Outlander XL (CW) 2006-2012;Фонарь задний внутренний правый;Фонарь задний внутренний правый Mitsubishi Outlander XL (CW) 2006-2012;3000;https://i04.softrazborki.net/px1j4rd8/66169.jpg,https://i04.softrazborki.net/px1j4rd8/66170.jpg,https://i04.softrazborki.net/px1j4rd8/66171.jpg;8331A064;311-14;Фонарь в дверь багажника. Без дефектов;;;Фонарь задний внутренний правый Mitsubishi Outlander XL (CW) 2006-2012;Фонарь задний внутренний правый Mitsubishi Outlander XL (CW) 2006-2012;2007;Брянск\ГС\24A8;27935
Кузов внутри;Mazda;Mazda 6 (GJ) 2012-2015;Mazda Mazda 6 (GJ) 2012-2015;Ручка двери внутренняя правая;Ручка двери внутренняя правая Mazda Mazda 6 (GJ) 2012-2015;900;https://i01.softrazborki.net/px1j4rd8/90044.JPG,https://i01.softrazborki.net/px1j4rd8/90045.JPG,https://i01.softrazborki.net/px1j4rd8/90046.JPG,https://i01.softrazborki.net/px1j4rd8/90047.JPG,https://i01.softrazborki.net/px1j4rd8/90048.JPG;GHP958330B;;;;GHP958330,GHP958330A;Ручка двери внутренняя правая Mazda Mazda 6 (GJ) 2012-2015;Ручка двери внутренняя правая Mazda Mazda 6 (GJ) 2012-2015;2013;Лобня\1C3C;32420
Тормозная система;Audi;80 /90 (B3) 1986-1991;Audi 80 /90 (B3) 1986-1991;Колодки тормозные передние к-кт;Колодки тормозные передние к-кт Audi 80 /90 (B3) 1986-1991;900;;145000SX;;;Audi 100 /200 (44) 1983-1991,Audi 80 /90 (B4) 1991-1994,VW Golf II/Jetta II 1983-1992;;Колодки тормозные передние к-кт Audi 80 /90 (B3) 1986-1991;Колодки тормозные передние к-кт Audi 80 /90 (B3) 1986-1991;;Брянск\ГС;28
Кузов внутри;Ford;Focus II 2008-2011;Ford Focus II 2008-2011;Ручка двери внутренняя левая;Ручка двери внутренняя левая Ford Focus II 2008-2011;600;https://i04.softrazborki.net/px1j4rd8/5801.jpg;3M51R22601AA;60-135;;Ford Focus II 2005-2008;1251880,1348201,1425279,3M51R22601BB,3M51R22601BC;Ручка двери внутренняя левая Ford Focus II 2008-2011;Ручка двери внутренняя левая Ford Focus II 2008-2011;2009;Брянск\ГС\2.4.А.5;30
Двигатель;VW;Passat (B3) 1988-1993;VW Passat (B3) 1988-1993;Форсунка пусковая;Форсунка пусковая VW Passat (B3) 1988-1993;1500;https://i04.softrazborki.net/px1j4rd8/1410.jpg;0280170458;2087;;;;Форсунка пусковая VW Passat (B3) 1988-1993;Форсунка пусковая VW Passat (B3) 1988-1993;;Брянск\ГС;31
Электрооснащение;Volvo;V50 2004>;Volvo V50 2004>;Моторчик стеклоочистителя задний;Моторчик стеклоочистителя задний Volvo V50 2004>;3000;https://i04.softrazborki.net/px1j4rd8/1210.jpg;30699261;3358;;;3M51R17K441AD;Моторчик стеклоочистителя задний Volvo V50 2004>;Моторчик стеклоочистителя задний Volvo V50 2004>;;Брянск\ГС;32
Кузов внутри;Ford;C-MAX 2003-2011;Ford C-MAX 2003-2011;Ремень безопасности задний;Ремень безопасности задний Ford C-MAX 2003-2011;1350;https://i04.softrazborki.net/px1j4rd8/25996.JPG;1503772;115-54;правый;;1373609,3M51R611B68AH,3M51R611B68AJ;Ремень безопасности задний Ford C-MAX 2003-2011;Ремень безопасности задний Ford C-MAX 2003-2011;2008;Брянск\ГС;12449
Система охлаждения;Peugeot;407 2004>;Peugeot 407 2004>;Патрубок охлаждения;Патрубок охлаждения Peugeot 407 2004>;800;https://i01.softrazborki.net/px1j4rd8/104698.jpg,https://i01.softrazborki.net/px1j4rd8/104699.jpg;1323JG;;;;1251134,1323JG,1711502,3M5Q8A582AB;Патрубок охлаждения Peugeot 407 2004>;Патрубок охлаждения Peugeot 407 2004>;;Лобня;35432
